ingr_descr_eng,foodex2_ingr_code,ingr_code
"Infant cereals, non milk-based, ""8 cereals, honey an biscuits, +6 months, Nutribén""",A03QY#F27.A001D$F27.A001N$F27.A000G$F27.A000P$F27.A000T$F27.A001K$F27.A0D9S$F27.A001L$F08.A032H$F04.A0BSL$F04.A06VT$F04.A033J$F04.A03RA$F09.A0EXH$F09.A0EXG$F09.A0EXN$F09.A0EXV$F09.A0EXL$F09.A0EXT$F09.A0EXY$F09.A0EXS$F09.A0EXZ$F09.A0EXQ$F09.A0EXK$F09.A0EXR,60602007
"Vitamin D3, drops",A03SL#F04.A0EXM$F03.A06JL,200201905
"Infant formula, milk-based, powder",A03QA,50501004
"Infant formula, NAN H.A. 1, Nestlé, reconstituted",A03QJ,999900101
"Infant formula, NAN 1, Nestlé, reconstituted",A03QF,999900063
"Follow-on formula, Aptamil Junior 4 with Pronutra+, Aptamil, reconstituted",A03QR,999900088
"Sausage, turkey",A024F#F04.A01SQ,70500064
"Black eyed peas, boiled",A013N#F28.A07MS$F28.A07GL,30100020
"Cereal flakes, with honey",A0F4Q#F04.A033J,60400014
"Fresh uncured cheese, spoonable, with added sugar and fruit",A02QF#F03.A0CEE$F04.A04RK$F08.A032H,50700003
Calf fresh meat,A01QY,70203003
"Rice grain, brown",A001E,60200046
Compote,A01PD,110200025
Scone,A00CM,120100058
Milk with coffee,A03KG,999900336
"Cereal flakes, integral",A04QY#F10.A06HR,60400002
Pig fresh meat,A01RG,70204010
Rice cake,A00AN#F04.A003F,120100004
Pig fresh meat,A01RG,70204031
"Cake, like Manhãzito",A00BL#F04.A0EQD,120100029
"Minteral water, carbonated",A03DS,130500004
"Snacks, like potato crisps or sticks",A011L,180100007
"Wheat bread, reduced salt",A004Y#F10.A0B8M,60301004
"Vegetal cream, spreadable, light",A039E#F07.A074C,100300014
"Fish paste or surimi, ""Muslito""",A02KE#F04.A06MT$F28.A07HK,80400010
"Pate, pork liver",A026R,70500043
"Cream, plain, pasteurised",A02ML#F28.A07HV,51001007
Wheat wholemeal flour,A004B,60100005
"Vegetal cream, with garlic and salt",A039E#F04.A00GZ$F04.A042P,100300009
"Supplements for weight reduction, tabs or capsules",A03SV#F03.A06JH$F23.A07TT,200205301
"Cheese, camembert",A02RX,50800015
"Pig, leg, low fat, roasted with vegetable oil and margarine",A01RG#F02.A07XQ$F04.A0F1G$F04.A036N$F10.A077C$F28.A07GY,70204083
"Jam, fig-leaf gourd",A01MM#F04.A00KK,110200020
Salt,A042P,150500007
"Chicken, leg",A01SP#F02.A07XQ,70302008
Baking powder,A169T,150300004
"Couverture chocolate, bar",A034M#F03.A06JJ,110300003
"Doughnuts-berliner, with cream",A00BR#F04.A02PX$F28.A07MA,120100002
"Goatling, leg, raw",A01RL#F02.A07XQ,70207004
"Goatling, chop, raw",A01RL#F20.A07QL$F31.A0C8X,70207005
"Mineral supplement, tabs or capsules",A03SM#F03.A06JH,200200202
"Vitamins supplement, tabs or capsules",A03SL#F03.A06JH,200200104
"Portuguese cheese, ""Ilha""",A02YE,50800029
Granola,A00EM#F04.A014C$F04.A033J$F04.A036N,60400045
Coffee (weak strenght) beverage,A03KD,130401006
"Yoghurt, cow milk, skimmed, spoonable, with added sugar",A02NF#F03.A0CEE$F08.A032H$F10.A077H,50600006
"Turkey, breast with skin, stewed with margarine",A01SQ#F02.A07XS$F04.A0F1G$F20.A07QQ$F28.A07GM,70303009
Feijoas,A01LY,40200081
"Maize starch, powder",A002R#F03.A06JD,20700002
"Meat balls, meat, raw",A0EYH#F28.A07KY,70500039
Almond cakes,A009X#F04.A014D,999900027
Smoked salmon,A02KF,80400003
Pouting(=Bib),A02BT#F01.A0MVX,80200080
"Tea beverage, lime blossoms infusion",A03LP,130403005
"Ice cream, stick, ""Magnum Caramel"" tipe, with caramel cover",A02QA#F04.A034M$F04.A035A,51101014
"Chickpeas, raw",A013M,30100014
"Calf, loin, roasted with olive oil, margarine and vegetable oil",A01QY#F04.A0F1G$F04.A036N$F04.A036P$F28.A07GY,70203031
Wheat germs rolled flakes,A00EB,60100036
Buttery cheese,A02RH,50800005
"Wheat and rice cereal flakes, fortified with vitamins, calcium and iron",A00EM#F09.A0EVG$F09.A0EXH$F09.A0EXD$F27.A001N$F27.A001D,60400021
Salt,A042P,150500009
Sheep cheese,A02QE#F27.A02MC,50800047
Cape gooseberries,A00JG,40200076
Blueberries,A01EY,40200033
"Pig heart, raw",A021C,70600003
"Rapini, kale raw",A00FL#F01.A05BM,20200015
Blackberries,A01EE,40200034
"Broad beans (without pods), fresh, boiled",A012A#F28.A07GL,20700010
"Cow milk, whole",A02LY,50200006
"Mixed vegetables (potatoes, carrots and garden peas)",A00FJ,20100006
"Pig, chop, half fat, stewed",A01RG#F10.A077B$F28.A07GM,70204039
"Cereals Nutribén, 8 cereals e 4 fruis, +6 months, reconstituted with water",A0BZF,999900174
"Chicken, guinea fowl",A01SX,70301001
Dried pasta,A007L,60200029
Calf fresh meat,A01QY,70203001
"Broad beans, dry, raw",A013H,20700006
"Cereals Nutribén, fruit, +4 months, reconstituted with water",A0BZF,999900172
Mint,A00YC,150400038
"Dessert, ""Baba de camelo""",A02PV#F04.A02PG$F04.A0F6F,50900026
Calf fresh meat,A01QY,70203002
"Cheese, flamengo, 30% fat",A02SV#F10.A077C,50800034
Avocados,A01LB,20300028
"Table olives ready for consumption, black",A01BQ#F10.A166Z,40400003
"Wheat rusk, wholemeal",A006P#F04.A004A,60302005
Instant coffee powder,A03GN,130401014
Coffee beverage,A03KA,130401001
"Cow, ox or bull fresh meat",A01QX,70202002
Soyabeans sprouts,A00SY,20900008
"Ice cream, ""Sundae"" type",A02QA#F04.A046F,51101026
"Calf, loin, roasted with olive oil and margarine",A01QY#F04.A036P$F04.A0F1G$F28.A07GY,70203029
Ice cream,A02PZ,51101007
Apple pie,A00BZ#F04.A01DJ,999900322
"Powder for instant soup, onion",A043J#F04.A00HC,150500024
"Wine, red",A03MX,140200004
Pig fresh meat,A01RG,70204027
"Cereals Continente, milk flour, >6 months, reconstituted with water",A0BZF,999900192
"Nectar, peach",A03BH,130200015
"Coriander leaves, raw",A00XF,150400015
"Simple cereals Blédina, 8 cereals and honey, 6-36 months, reconstituted with whole milk",A0BZE,999900257
"Dairy dessert, spoonable",A02PV,50900002
Sea bass,A029T,80200007
"Simple cereals BabyBio, BabyBio ""Céréales Cacao"", > 8 months, reconstituted with whole milk",A0BZE,999900299
"Simple cereals Continente, 8 cereals and honey, reconstituted with whole milk",A0BZE,999900266
"Biscuits, home prepared",A009V#F22.A07SS,120200009
"Yoghurt, cow milk, plain, semi-skimmed, spoonable, with added sugar",A02NG#F03.A0CEE$F08.A032H$F10.A077G,50600031
Quinoa,A000R,999900353
"Biscuits, rice",A009X#F04.A001D,120200022
Oilseeds,A015F,40300038
"Soft drink, with gas, like guaraná",A03EA#F04.A06PG,130300039
"Cow, ox or bull fresh meat",A01QX,70202003
"Nectar, plum",A03BB#F04.A01GQ,130200005
"Jam, orange peel",A16FC#F04.A01QE,110200023
Torrone,A0EQR,110400010
Muesli with dried fruit,A00EJ#F04.A01MA,60400029
Potatoes,A00ZT,10200001
Vermicelli,A02PV#F04.A031F$F04.A007M$F04.A019V,50900025
Pig fresh meat,A01RG,70204001
"Juice, concentred fruit, orange",A03CA,130200032
Chorizo and similar,A025C,70500002
"Pig, rib, boiled",A01RG#F28.A07GL,70204057
Filled chocolate,A034Q,110300033
"Compote, quinces",A01PD#F04.A01DR,110200043
"Maize grain, raw",A000T,20700001
"Dessert, egg yolk and sugar",A04NS#F04.A0F6F$F04.A032H,110400022
Calf fresh meat,A01QY,70203009
"Pate, meat past",A026L,70500035
"Hake, medium, fried",A02CB#F28.A07GS,80200123
"Pig, chop, half fat, stewed with olive oil and pork lard",A01RG#F04.A036P$F04.A037V$F10.A077B$F28.A07GM,70204041
"Pig, rib, stewed",A01RG#F28.A07GM,70204059
"Garden peas (with pods), Boiled",A00PY#F28.A07GL,20300030
"Garlic, powder",A00ZQ#F03.A06JD$F27.A00GZ,20800006
Yoghurt gelatin,A02PV#F04.A02NF$F04.A0F5E,170100002
"Soya drink, milk imitate, plain, without added sugar",A03TJ#F10.A077K$F10.A0CQE,50400007
Sweet peppers,A00JA,20300008
Hakes,A02CB,80200094
"Wheat cereal flakes, ""Weetabix"" type",A00EF#F10.A06HR,60400032
Instant coffee decaffeinated,A03KE#F10.A0CQH,130401009
"Pig, chop, full fat, raw",A01RG#F10.A077A,70204008
"Sausage, Frankfurt",A026B,70500027
Flan pudding,A02PX#F04.A035A,50900004
Honey,A033J,110200011
"Soft drink, with gas",A0EQN#F28.A07JN,130300002
Cola-type drinks,A03FQ,130300020
"Lima beans, boiled",A013A#F28.A07MS$F28.A07GL,30100021
"Piglet, meat",A01RG#F31.A0C8R,70204037
Rusk,A006M,60302001
"Bun ""Pão de Deus""",A00BL#F04.A014K,120100044
"Pollack, pollock",A02CE,80200014
"Potato, raw, frozen pre-fried",A00ZT#F24.A07VQ$F28.A07GV$F28.A07KQ,10200003
"Black scabbardfish, fried",A0FBG#F01.A09QR$F28.A07GS,80200109
"Simple cereals Nestlé, Cerelac biscuits, >6 months, reconstituted with whole milk",A0BZE,999900239
Cream cheese,A02QZ,50800006
"Follow-on formula, Bio 4, Holle, reconstituted",A03QR,999900095
"Infant cereals, milk-based ""Cerelac, +6 months, Nestlé""",A03QZ#F04.A001N$F04.A02PL$F04.A06VT$F04.A032H$F09.A0EXN$F09.A0EXV$F09.A0EXL$F09.A0EXY$F09.A0EXT$F09.A0EXZ$F09.A0EXS$F09.A0EXK$F09.A0EXQ$F09.A0EXR$F09.A0EXM$F09.A0EXH$F09.A0EXD$F09.A0EXA$F09.A0EXE,60601009
"Follow-on formula, milk-based, liquid",A03QR,50200032
"Cereals Blédina, pears, 4-36 months, reconstituted with water",A0BZF,999900186
"Infant cereals, non milk-based, ""Wheat flakes and fruits, Breakfast, +12 months, Nutribén""",A03QY#F27.A001N$F04.A032H$F04.A0BSL$F04.A06VT$F04.A04JS$F04.A01DJ$F04.A0DZB$F09.A0EXH$F09.A0EXN$F09.A0EXV$F09.A0EXL$F09.A0EXT$F09.A0EXY$F09.A0EXS$F09.A0EXZ$F09.A0EXQ$F09.A0EXK$F09.A0EXR$F09.A0EXM$F09.A0EXD$F09.A0EXP,60602008
"Infant cereals, non milk-based, ""8 cereals and honey, +6 months, Nutribén""",A03QY#F27.A001D$F27.A001N$F27.A000G$F27.A000P$F27.A000T$F27.A001K$F27.A0D9S$F27.A001L$F08.A032H$F04.A0BSL$F04.A06VT$F04.A033J$F09.A0EXH$F09.A0EXG$F09.A0EXN$F09.A0EXV$F09.A0EXL$F09.A0EXT$F09.A0EXY$F09.A0EXS$F09.A0EXZ$F09.A0EXQ$F09.A0EXK$F09.A0EXR$F09.A0EXM,60602006
"Infant cereals, milk-based ""Milfarin, >6 months, Milfarin""",A03QZ#F04.A001N$F04.A02PL$F04.A032H$F04.A06VT$F09.A0EXH$F09.A0EXN$F09.A0EXV$F09.A0EXL$F09.A0EXT$F09.A0EXZ$F09.A0EXY$F09.A0EXS$F09.A0EXQ$F09.A0EXM$F09.A0EXK$F09.A0EXP$F09.A0EXD$F09.A0EXA,60601022
"Yoghurt, cow milk, spoonable creamy, semi-skimmed, with added sugar and fruit",A02NH#F03.A0CEE$F04.A01QP$F08.A032H$F10.A077G,50600015
Pig fresh meat,A01RG,70204013
Wheat popped cereal flakes,A00EE,60400008
Cockles,A02HE,80300023
"Clams, raw",A02HA,80300005
"Rice grain, long-grain",A001F,60200044
"Yoghurt, cow milk, spoonable creamy, skimmed, with artificial sweeteners and cereals",A02NH#F03.A0CEE$F04.A0EZF$F08.A046M$F10.A077H,50600011
Fresh stuffed pasta,A007T,60200022
Cassava roots flour,A00ZZ#F28.A07LA,60100021
"Biscuits, sweet, plain",A009X,120200005
"Biscuits, vanilla flavour",A009V#F04.A06VS,120200019
"Table olives ready for consumption, stuffed",A01BQ#F20.A07QK$F28.A07MA,40400004
Curry,A043A,150400018
Canned coconut milk (cocos nucifera) liquid,A01BK#F28.A0BYP,40300045
Perch,A027N,80200110
Grouper,A0FAS,80200081
"Black scabbardfish, raw",A0FBG#F01.A09QR,80200107
"Biscuits, waffer, chocolate",A0BYR#F04.A034Q,120200012
"Tea beverage, lemon verbena infusion",A03LS,130403004
"Portguese sausage ""Alheira"", grilled",A025H#F28.A07GZ,70500050
"Lamb, shop or leg, fried with margarine, without sauce",A01RK#F04.A0F1G$F28.A07GS,70205029
"Nectar, orange and carrot",A0BX9#F04.A0DZB$F04.A00QH,130200009
Biscuit with chocolate pieces,A00AE#F04.A0EQD,120200032
Herbal and other non-tea infusions,A03LG,130403008
Wheat rusk,A006M#F04.A003X,60302002
"Compote, pumpkins and walnuts",A01PD#F04.A00KH$F04.A014R,110200041
Sponge cake,A00AQ,999900054
"Golden redfish, boiled",A02AN#F28.A07GL,80200065
"Vitamin B9, folic acid, tabs or capsules",A03SM#F04.A0EXQ$F03.A06JH,200206501
"Yoghurt, cow milk, spoonable creamy, full fat, with added sugar and fruit",A02NH#F03.A0CEE$F04.A04RK$F08.A032H$F10.A077A,50600017
"Croissant, filled",A00BM#F28.A07MA,120100023
"Meat balls, meat, raw",A0EYH#F28.A07KY,70500040
Wafer cake,A00AV#F04.A009V,999900028
"Pig, rib, stewed",A01RG#F28.A07GM,70204058
"Chocolate, tablet",A0EQD#F03.A06JH,110300025
Wheat cereal flakes,A00EF,60400006
Sugus,A035K,110400009
"Biscuits, like Oreo",A00AE#F04.A0EQS$F04.A06VS,120200034
"Cereal flakes, ""Fitness"" type",A04QY,60400010
"Bread, white, with sunflower seeds",A005K#F04.A015L,60301046
Mackerel,A02CN,80200066
Fermented milk with Lactobacillus casei,A02NS#F07.A06YH,50300003
"Nectar, red fruits",A03BL#F04.A01DT,130200007
"Jam, apple",A01MM#F04.A01DJ,110200017
Borlotti or other common beans,A012T,30100007
"Peanuts, without husks",A015H#F20.A07QZ$F20.A07QF,40300023
Well water,A03DP,130500016
"Turkey, wing",A01SQ#F02.A06AG,70303002
"Bitter chocolate, filled",A034Q#F04.A034G,110300011
Wheat bread with maize,A004Z,60301021
Whisky,A03PF,140500009
Pig fresh meat,A01RG,70204007
Peas,A012J,30100010
Pig fresh meat,A01RG,70204003
"Nectar, banana",A03BE,130200006
"Jam, pumpkin",A01MM#F04.A0DLV,110200038
"Apples, baked with added sugar",A01DJ#F10.A077J$F28.A07GY,40200003
Water based ice cream,A036J,51103001
"Simple cereals Nutribén, 8 cereals and honey, +6 months, reconstituted with follow-on formula",A0BZE,999900219
"Simple cereals Nutribén, 8 cereals and honey, +6 months, reconstituted with whole milk",A0BZE,999900221
Fermented milk for infants,A0C69#F23.A07TF,50600033
"Cow, ox or bull fresh meat",A01QX,70202010
Chorizo and similar,A025C,70500003
"Flounder, raw",A02BF,80200132
"Mushrooms, unspecified",A0ETG#F26.A07XD,20600001
Pudding,A02PY,50900011
Pig fresh meat,A01RG,70204006
"Traditional bread product ""Rabanada""",A006Z#F04.A031G$F04.A032H$F28.A07GV,110400024
Saffron,A01AR,150400031
"Nectar, light, mango and passion fruit",A03BL#F04.A01LF$F04.A01KC$F10.A0CRG,130200023
"Cereal flakes, high fiber, ""Special K"" type",A00EM#F09.A0EVR,60400003
Chocolate,A0EQD,110300002
"Chicken, meat",A01SP,70302001
Rice cereal flakes,A00DS,60400030
"Biscuits, cinnamon",A009X#F04.A019V,120200020
Pangas catfishes,A0F8N,80200097
"Cereals, stuffed",A0F4Q#F28.A07MA,60400007
Vegetal cream,A039D#F10.A0CQE,100300019
Ripened cheese,A02RG,50800004
Grapefruits,A01CY,40200049
Cream cheese,A02QZ,50800028
"Navy beans, boiled",A012X#F28.A07GL$F28.A07MS,30100022
"Nectar, orange",A03BG,130200008
"Mixed alcoholic drinks, ""Panaché""",A03MB#F04.A03FF,140100005
"Cereal flakes, integral, ""All-bran flakes"" type",A00EF#F04.A004P$F10.A06HR,60400004
"Sea bass, grilled",A029T#F28.A07GZ,80200009
Brandy,A03PE,140500003
"Portuguese soft-ripened sheep cheese, ""Serra""",A02RH#F27.A02MC,50800037
"Sheep, leg",A01RJ#F02.A07XQ,70205018
"Chicken, with skin, roasted, without sauce",A01SP#F20.A07QQ$F28.A07GY,70302032
Grouse,A01TJ,70400004
Sparkling wine,A03MZ,140200014
Bananas and similar-,A04JS#F28.A07GR,999900001
Bluefish,A02AQ,80200003
"Gin, rum and whisky",A03PD#F04.A03PG$F04.A03PJ$F04.A03PF,140500007
"Chili peppers, red",A00JB#F10.A0F2S,20300013
"Mixed coffee imitates, powder, without coffee",A03HD,130404003
"Peanuts, without husks, toasted with added salt",A015H#F04.A042P$F20.A0F1L$F28.A07HC,40300025
"Fruit compote, plum",A01PJ,110200026
Muffin,A00BC,120100039
"Broad beans (without pods), fresh, raw",A012A,20700007
"Nectar, apple",A03BD,130200011
"Sugar, moscovado, light colour",A032M#F10.A0F2Z,110200005
"Wreckfish, raw",A0FAS,80200069
"Tuna, fresh",A02DX,80200053
"Monkfish, raw",A02BJ#F01.A0YJS,80200034
"Vegetal cream, spreadable, 70% fat, 53% polyunsaturated fatty acids",A0F1G#F04.A015P,100300016
"Choux pastry ""Sonhos""",A00AG#F28.A07GV,110400025
Tomatoes,A0DMX,20300002
"Cheese, cheddar",A02YK,50800016
Turbot,A02BH,80200056
"Cow for roast, roasted",A01QX#F28.A07GY,70202039
Stock cubes for broth,A043F,150500032
Vegetable oil,A036N,100100001
Table salt,A042P#F28.A07LA,150500008
"Sausage, Frankfurt, grilled",A026B#F10.A0CQE$F28.A07GZ,70500029
Clementines,A01CE,40200050
Dried vine fruits,A01ME,40200044
Dried figs,A01MG,40200067
Calf fresh meat,A01QY,70203006
Biscuits,A009V,120200010
"Simple cereals Nestlé, Cerelac 8 cereals and honey, >6 months, reconstituted with whole milk",A0BZE,999900236
"Infant cereals, non milk-based, ""Cerelac 8 cereals and honey, >6 months, Nestlé""",A03QY#F27.A001D$F27.A001N$F27.A000P$F27.A000T$F27.A001K$F27.A001L$F27.A001B$F27.A000G$F08.A033J$F04.A06VT$F09.A0EXH$F09.A0EXD$F09.A0EXE$F09.A0EXA$F09.A0EXN$F09.A0EXL$F09.A0EXV$F09.A0EXY$F09.A0EXZ$F09.A0EXS$F09.A0EXQ$F09.A0EXM,60602011
"Herbs, spices and similar",A042Y#F26.A07XD,150400001
Red beer,A03MB#F10.A0F2S,140400004
"Beetroots, boiled",A00QG#F28.A07GL,20400003
Beer,A03MB,140400001
Coffee beverage decaffeinated,A03KF,130401002
"Yoghurt, cow milk, spoonable creamy, full fat, with added sugar",A02NF#F03.A0CEE$F08.A032H$F10.A077A,50600019
"Fruit or fruit-vegetable puree, pouch",A03RJ#F18.A07NK,40100010
"Lamb, chop or leg, raw",A01RK#F20.A07QL,70205006
"Infant cereals, non milk-based",A03QY,60602001
"Cow milk, lactose reduced",A02LV#F10.A0B8N,50200016
"Biscuits, sweet, plain",A009X,120200004
Chorizo and similar,A025C,70500014
"Salmon, boiled",A0C75#F28.A07GL,80200026
"Stock cubes for broth, vegetables",A043J,150500029
Pastry based on laminated dough,A00CC,120100049
"Multivitamin and mineral supplements, tabs or capsules",A03SN#F03.A06JH,200203303
"Soft drink, orange and carrot, without gas",A03EL#F04.A00QH,130300037
"Dairy desserts spoonable, ""Natas do céu""",A02PV#F04.A02ML$F04.A031G$F04.A009V,50900027
"Folic acid and iron, tabs or capsules",A03SN#F04.A0EXQ$F04.A0EXD$F03.A06JH,200201202
"Vitamin B9, folic acid, tabs or capsules",A03SL#F04.A0EXQ$F03.A06JH,200201001
Iced sugar,A036A,110200008
Port,A03NL,140300014
"Frozen garden peas, boiled",A012J#F28.A07KQ$F28.A07GL,30100025
Palm oil,A037N,100100008
"Wheat bread, ""Bolo do caco""",A004X#F04.A010C,60301026
Candy,A034X,110400019
Candied fig,A01PS#F27.A01HG,110100003
Tree nuts,A014C,40300005
"Soft drink, pineapple, with gas",A03EQ#F28.A07JN,130300007
"Coffee beverages, filter, decaffeinated",A03KD#F10.A0CQH,130401003
Coffee beverage decaffeinated,A03KF,130401016
"Animal liver, raw",A01XD,70600015
"Carrots, Boiled",A00QH#F28.A07GL,20400005
"Portuguese kales, boiled",A00GQ#F28.A07GL,20500008
"Chicken, breast and wing, with skin, grilled",A01SP#F03.A06HZ$F20.A07QQ$F28.A07GZ,70302042
"Pig, rib, grilled",A01RG#F20.A07QL$F28.A07GZ,70204064
"Follow-on formula, Aptamil Pepti Junior, Aptamil, reconstituted",A03QJ,999900109
"Follow-on formula, Aptamil 2 with Pronutra+, Aptamil, reconstituted",A03QR,999900072
Beans,A012S,30100001
"Milk chocolate, like Happy Hippo Kinder",A00AE#F04.A0C6P$F28.A07HP,110300006
White chocolate,A034P,110300004
"Soft drink, orange and passion fruit, without gas",A03EV#F04.A01CR$F04.A01KC,130300011
"Biscuits, like Húngaro",A00AE#F04.A0EQS,120200052
"Chocolate, tablet, like Mars",A034R#F04.A035A$F04.A035D,110300029
"Biscuits, waffer, vanilla flavour",A0BYR#F04.A06VS,120200013
"Puff-pastry croissant, filled with chocolate, ""Napolitana""",A00CE,120100063
Pig fresh meat,A01RG,70204019
Cassava roots,A00ZZ,10100002
Sangria,A03PT,140100004
"Turkey, whole, without skin",A01SQ#F20.A07QR,70303008
"Coffee imitate, powder",A03GS,130404005
"Whey protein, powder, sachet or granules",A03SY#F04.A02PS$F03.A06JD,200206802
"Almonds sweet, with peel, without husks, toasted",A014F#F20.A07QF$F20.A07QZ$F28.A07HC,40300010
Cherimoyas,A01LJ,40200079
"Quail, with skin, grilled",A01TB#F20.A07QQ$F28.A07GZ,70400014
Passionfruits,A01KC,40200075
"Fruit compote, sweet cherry",A01PK,110200028
Squash cakes,A00CC#F04.A0DLV,50900001
Green sauce,A045K,999900131
"Hen egg white, pasteurised",A031T#F28.A07HV,90000008
Pargo bream,A029V#F01.A0QSR,80200098
"Vitamin C, ascorbic acid, efervescent tabs",A03SL#F04.A0EXN$F03.A06JH,200201302
"Meat burger, chicken, raw",A04DS,70500067
"Portguese sausage ""Alheira"", grilled, with added salt",A025H#F10.A0CJK$F28.A07GZ,70500049
"Chewing gum, without sugar",A035M#F10.A077L,110400015
"Cow milk, skimmed, lactose free",A02MA#F10.A0CQD,50200031
"Nectar, pineapple",A03BK,130200004
Multigrain bread,A005L,60301047
Baked apple with port wine,A01DJ#F04.A03NL$F28.A07GX,999900043
Meat sauce,A16BR#F04.A037V$F04.A019C,999900002
"Barley grain, pearled",A002K,60200050
"Portguese sausage ""Alheira"", raw",A025H#F28.A07JV,70500046
"Puff pastry, sweet with coverage and/or filling",A00CC#F28.A07LZ,120100051
"Snacks, corn",A00FC,180100008
Cereal bars with dried fruit,A00FA#F04.A01MA,60400040
"Nectar, mango",A03BF,130200012
"Nectar, pear",A03BJ,130200014
"Follow-on formula, milk-based, powder",A03QL,50501047
"Baby carrot, raw",A0DNZ,20400013
"Probiotics formulation, liquid",A0F3Y#F03.A06JL,200205701
"Infant cereals, non milk-based, ""Cerelac apple and pear yoghurt, >8 months, Nestlé""",A03QY#F27.A001N$F27.A001K$F27.A000P$F27.A000T$F27.A001L$F27.A001D$F27.A001B$F27.A000G$F04.A02NG$F04.A06VT$F04.A01DJ$F04.A01DP$F09.A0EXH$F09.A0EXD$F09.A0EXE$F09.A0EXJ$F09.A0EXN$F09.A0EXV$F09.A0EXY$F09.A0EXZ$F09.A0EXS$F09.A0EXQ$F09.A0EXM$F09.A0EXL,60602015
"Yoghurt, cow milk, spoonable creamy, full fat, with added sugar, fruit and cereals",A02NH#F03.A0CEE$F04.A04RK$F04.A000L$F08.A032H$F10.A077A,50600018
"Cream, plain",A02ML,51001001
Peanut butter,A01BN,40300040
Cod,A02BV,80200016
"Liqueur, cream, whisky",A03PA#F04.A03PF,140700008
Tequila,A03PL,140500013
"Cappuccino, powder",A0F2E#F04.A02PJ,130404011
"Broccoli, boiled",A00FN#F28.A07GL,20500011
"Salmon, grilled",A0C75#F28.A0EJY,80200027
Martini,A03PN#F04.A03PG$F04.A03NH,140300008
Multigrain bread with seeds,A005L#F04.A015F,60301051
"Rabbit, meat",A01RQ,70208001
"Grouper, grilled",A0FAS#F28.A07GZ,80200083
"Infant cereals, non milk-based, ""Cerelac yoghurt 8 cereals, >8 months, Nestlé""",A03QY#F27.A001N$F27.A000P$F27.A000T$F27.A001K$F27.A001L$F27.A000G$F27.A001B$F27.A001D$F04.A06VT$F04.A02NG$F09.A0EXH$F09.A0EXD$F09.A0EXE$F09.A0EXA$F09.A0EXN$F09.A0EXL$F09.A0EXV$F09.A0EXY$F09.A0EXZ$F09.A0EXS$F09.A0EXQ$F09.A0EXM,60602014
Chicken nuggets,A01SP#F28.A07HK,180200017
Milk chocolate,A034J,110300023
Hot chocolate,A03KZ,110300040
"Cake ""Mil folhas""",A00CC#F28.A07MA$F28.A07LZ,120100007
"Chicken, without skin, boiled",A01SP#F20.A07QQ$F28.A07GL,70302033
"Turkey, leg with skin",A01SQ#F02.A07XQ$F20.A07QQ,70303006
"Chicken, leg with skin, grilled",A01SP#F02.A07XQ$F20.A07QQ$F28.A07GZ,70302047
"Sea bass, boiled",A029T#F28.A07GL,80200008
Ice cream with cream,A02PZ#F04.A02ML,51101006
Table grapes,A01DX,40200041
Mushrooms cooked sauce,A044D,999900023
"Forkbeard, boiled",A02BT#F01.A09RS$F28.A07GL,80200005
"Yoghurt, cow milk, skimmed, spoonable",A02NF#F03.A0CEE$F10.A077H,50600010
Filled chocolate,A034Q,110300008
"Infant cereals, milk-based, liquid pap ""8 Cereals and honey, Continente""",A0BZF#F04.A03QR$F04.A003Y$F04.A002Q$F04.A003F$F04.A002Y$F04.A003J$F04.A002L$F04.A003T$F04.A002T$F04.A03BY$F04.A033J$F09.A0EXD$F09.A0EXA$F09.A0EXN$F09.A0EXZ$F09.A0EXM$F09.A0EXL$F09.A0EXV$F09.A0EXT$F09.A0EXK$F09.A0EXY$F09.A0EXS$F09.A0EXX$F09.A0EXQ$F09.A0EXR,60604010
Rusk,A006M,180100001
"Yoghurt, cow milk, spoonable, for infants",A02NF#F03.A0CEE$F23.A07TF,50600036
Rainbow trout,A029K,80200052
"Cheese, brie",A02RV,50800013
"Cheese, raclette",A02XF,50800040
"Multivitamins, minerals, royal jelly and pollen, ampoule",A03TC#F04.A0EVG$F04.A0EVF$F04.A0CVH$F04.A0CVG$F03.A06JL,200203603
Jam,A01MM,110200012
Bread with chorizo,A0BY0#F04.A025C,180200034
"Chorizo, pork meat, lean, grilled",A025C#F04.A01RG$F10.A077C$F10.A0CQE$F28.A07GZ,70500010
"Onions, boiled",A00HC#F28.A07GL,20800002
"Pears, boiled with added sugar",A01DP#F10.A077J$F28.A07GL,40200005
Dried dates,A01MF,40200065
Lemons,A01BY,40200046
Sesame paste (tahini),A01BM,40300002
"Duck, with skin, roasted, without sauce",A01SR#F20.A07QQ$F28.A07GY,70304008
"Chicken, wing",A01SP#F02.A06AG,70302009
Traditional unleavened bread,A006R,180100009
"Follow-on formula, milk-based, powder, 1-3 years",A03QL#F23.A07TK,50501034
Whiting,A02CG,80200057
"Fruit or fruit-vegetable puree, with extruded breakfast cereal products",A03RJ#F04.A0EZF$F18.A07NN,40100009
"Follow-on formula, Aptamil 4 Junior with Pronutra+ Bolacha Maria, Aptamil, reconstituted",A03QR,999900166
Vodka,A03PH,140500006
"Energy drinks, red fruits flavour",A03GA#F04.A06KS,130300036
Maize flour,A002Q,60100010
"Chocolate ""bomboca""",A034R#F04.A009X$F04.A00CP,110300035
"Follow-on formula, Nuribén follow-up 2, Nutribén, reconstituted",A03QR,999900073
